# id	left	top	right	bottom	texture_id
[SPRITES]

#Score
400001	1	29	12	36	70
400002	18	29	29	36	70
400003	35	29	46	36	70
400004	52	29	63	36	70
400005	69	29	84	36	70
400006	86	29	101	36	70
400007	103	29	118	36	70
400008	120	29	135	36	70
400009	137	29	152	36	70

#Visual effect
400010	35	61	50	76	80
400011	164	21	179	36	80
400012	18	61	33	76	80
400013	146	21	161	36	80

#Font A C D E G L O R S T U Y !
400100	122	129	129	136	60
400102	146	129	153	136	60
400103	158	129	165	136	60
400104	170	129	177	136	60
400106	194	129	201	136	60
400111	242	129	249	136	60
400114	134	141	141	148	60
400117	170	141	177	148	60
400118	182	141	189	148	60
400119	194	141	201	148	60
400120	206	141	213	148	60
400124	254	141	261	148	60
400126	272	91	275	96	60

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
