# id	left	top	right	bottom	texture_id
[SPRITES]
92101	426	238	443	255	30
92102	443	238	460	255	30
92103	460	238	477	255	30
92104	426	255	443	272	30
92105	443	255	460	272	30
92106	460	255	477	272	30


# SEMI_SOLID_PLAIN
# WHITE
93101	1	0	18	17	30
93102	18	0	35	17	30
93103	35	0	50	17	30
93104	1	17	18	34	30
93105	18	17	35	34	30
93106	35	17	50	34	30
93107	1	34	18	51	30
93108	18	34	35	51	30
93109	35	34	50	51	30

# GREEN
93201	52	0	69	17	30
93202	69	0	86	17	30
93203	86	0	101	17	30
93204	52	17	69	34	30
93205	69	17	86	34	30
93206	86	17	101	34	30
93207	52	34	69	51	30
93208	69	34	86	51	30
93209	86	34	101	51	30

# PINK
93301	1	51	18	68	30
93302	18	51	35	68	30
93303	35	51	50	68	30
93304	1	68	18	85	30
93305	18	68	35	85	30
93306	35	68	50	85	30
93307	1	85	18	102	30
93308	18	85	35	102	30
93309	35	85	50	102	30

# BLUE
93401	52	51	69	68	30
93402	69	51	86	68	30
93403	86	51	101	68	30
93404	52	68	69	85	30
93405	69	68	86	85	30
93406	86	68	101	85	30
93407	52	85	69	102	30
93408	69	85	86	102	30
93409	86	85	101	102	30


# SHADOW
93501	103	69	118	84	30
93502	103	86	118	101	30
93503	103	103	118	118	30
93504	69	103	84	118	30
93505	86	103	101	118	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
