# id	left	top	right	bottom	texture_id
[SPRITES]
#GREEN_PIRANHA
31001	416	86	433	109	10
31002	436	86	453	109	10

#GREEN_VENUS_LEFT_UP
32001	297	86	314	119	10
32002	317	86	334	119	10

#GREEN_VENUS_LEFT_DOWN
33001	277	86	294	119	10
33002	456	86	473	119	10

#GREEN_VENUS_RIGHT_UP
34001	397	86	414	119	10
34002	377	86	394	119	10

#GREEN_VENUS_RIGHT_DOWN
35001	357	86	374	119	10
35002	337	86	354	119	10

#RED_VENUS_LEFT_UP
32101	197	86	214	119	10
32102	237	86	254	119	10

#RED_VENUS_LEFT_DOWN
33101	117	86	134	119	10
33102	157	86	174	119	10

#RED_VENUS_RIGHT_UP
34101	217	86	234	119	10
34102	257	86	274	119	10

#RED_VENUS_RIGHT_DOWN
35101	137	86	154	119	10
35102	177	86	194	119	10


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
7000	31001	100	31002	100
